iter	Precision_SumError	Precision_SumWeight	Recall_SumError	Recall_SumWeight	F1_TP	F1_TP+FP	F1_TP+FN
444	1402	1901	1402	4014	1402	1901	4014
445	1402	1901	1402	4014	1402	1901	4014
446	1401	1900	1401	4014	1401	1900	4014
447	1402	1900	1402	4014	1402	1900	4014
448	1402	1900	1402	4014	1402	1900	4014
449	1404	1903	1404	4014	1404	1903	4014
450	1403	1902	1403	4014	1403	1902	4014
451	1404	1903	1404	4014	1404	1903	4014
452	1407	1906	1407	4014	1407	1906	4014
453	1411	1910	1411	4014	1411	1910	4014
454	1409	1909	1409	4014	1409	1909	4014
455	1412	1910	1412	4014	1412	1910	4014
456	1416	1915	1416	4014	1416	1915	4014
457	1416	1915	1416	4014	1416	1915	4014
458	1416	1915	1416	4014	1416	1915	4014
459	1419	1918	1419	4014	1419	1918	4014
460	1419	1918	1419	4014	1419	1918	4014
461	1415	1914	1415	4014	1415	1914	4014
462	1415	1915	1415	4014	1415	1915	4014
463	1417	1917	1417	4014	1417	1917	4014
464	1418	1918	1418	4014	1418	1918	4014
465	1418	1918	1418	4014	1418	1918	4014
466	1420	1920	1420	4014	1420	1920	4014
467	1423	1924	1423	4014	1423	1924	4014
468	1423	1923	1423	4014	1423	1923	4014
469	1424	1924	1424	4014	1424	1924	4014
470	1424	1922	1424	4014	1424	1922	4014
471	1424	1922	1424	4014	1424	1922	4014
472	1426	1924	1426	4014	1426	1924	4014
473	1425	1923	1425	4014	1425	1923	4014
474	1423	1923	1423	4014	1423	1923	4014
475	1424	1922	1424	4014	1424	1922	4014
476	1424	1923	1424	4014	1424	1923	4014
477	1425	1920	1425	4014	1425	1920	4014
478	1426	1922	1426	4014	1426	1922	4014
479	1426	1922	1426	4014	1426	1922	4014
480	1427	1924	1427	4014	1427	1924	4014
481	1428	1926	1428	4014	1428	1926	4014
482	1431	1926	1431	4014	1431	1926	4014
483	1432	1927	1432	4014	1432	1927	4014
484	1431	1926	1431	4014	1431	1926	4014
485	1431	1926	1431	4014	1431	1926	4014
486	1432	1928	1432	4014	1432	1928	4014
487	1434	1928	1434	4014	1434	1928	4014
488	1434	1929	1434	4014	1434	1929	4014
489	1434	1928	1434	4014	1434	1928	4014
490	1435	1930	1435	4014	1435	1930	4014
491	1436	1929	1436	4014	1436	1929	4014
492	1436	1926	1436	4014	1436	1926	4014
493	1437	1927	1437	4014	1437	1927	4014
494	1437	1927	1437	4014	1437	1927	4014
495	1436	1925	1436	4014	1436	1925	4014
496	1437	1926	1437	4014	1437	1926	4014
497	1438	1927	1438	4014	1438	1927	4014
498	1437	1926	1437	4014	1437	1926	4014
499	1437	1926	1437	4014	1437	1926	4014
500	1438	1930	1438	4014	1438	1930	4014
501	1436	1925	1436	4014	1436	1925	4014
502	1439	1928	1439	4014	1439	1928	4014
503	1439	1928	1439	4014	1439	1928	4014
504	1439	1928	1439	4014	1439	1928	4014
505	1439	1928	1439	4014	1439	1928	4014
506	1439	1929	1439	4014	1439	1929	4014
507	1440	1930	1440	4014	1440	1930	4014
508	1442	1933	1442	4014	1442	1933	4014
509	1444	1935	1444	4014	1444	1935	4014
510	1444	1935	1444	4014	1444	1935	4014
511	1442	1931	1442	4014	1442	1931	4014
512	1444	1932	1444	4014	1444	1932	4014
513	1445	1934	1445	4014	1445	1934	4014
514	1445	1933	1445	4014	1445	1933	4014
515	1445	1933	1445	4014	1445	1933	4014
516	1447	1936	1447	4014	1447	1936	4014
517	1449	1937	1449	4014	1449	1937	4014
518	1450	1938	1450	4014	1450	1938	4014
519	1450	1938	1450	4014	1450	1938	4014
520	1450	1938	1450	4014	1450	1938	4014
521	1450	1938	1450	4014	1450	1938	4014
522	1451	1939	1451	4014	1451	1939	4014
523	1450	1937	1450	4014	1450	1937	4014
524	1451	1939	1451	4014	1451	1939	4014
525	1455	1947	1455	4014	1455	1947	4014
526	1454	1946	1454	4014	1454	1946	4014
527	1455	1946	1455	4014	1455	1946	4014
528	1456	1948	1456	4014	1456	1948	4014
529	1456	1947	1456	4014	1456	1947	4014
530	1457	1946	1457	4014	1457	1946	4014
531	1456	1946	1456	4014	1456	1946	4014
532	1455	1945	1455	4014	1455	1945	4014
533	1457	1947	1457	4014	1457	1947	4014
534	1456	1945	1456	4014	1456	1945	4014
535	1456	1945	1456	4014	1456	1945	4014
536	1456	1946	1456	4014	1456	1946	4014
537	1456	1941	1456	4014	1456	1941	4014
538	1456	1941	1456	4014	1456	1941	4014
539	1457	1943	1457	4014	1457	1943	4014
540	1458	1942	1458	4014	1458	1942	4014
541	1457	1942	1457	4014	1457	1942	4014
542	1458	1944	1458	4014	1458	1944	4014
543	1459	1945	1459	4014	1459	1945	4014
544	1460	1946	1460	4014	1460	1946	4014
545	1462	1948	1462	4014	1462	1948	4014
546	1462	1948	1462	4014	1462	1948	4014
547	1462	1947	1462	4014	1462	1947	4014
548	1461	1947	1461	4014	1461	1947	4014
549	1463	1948	1463	4014	1463	1948	4014
550	1462	1947	1462	4014	1462	1947	4014
551	1462	1947	1462	4014	1462	1947	4014
552	1461	1945	1461	4014	1461	1945	4014
553	1459	1942	1459	4014	1459	1942	4014
554	1459	1942	1459	4014	1459	1942	4014
555	1485	1991	1485	4014	1485	1991	4014
556	1486	1992	1486	4014	1486	1992	4014
557	1486	1992	1486	4014	1486	1992	4014
558	1487	1993	1487	4014	1487	1993	4014
559	1488	1994	1488	4014	1488	1994	4014
560	1487	1992	1487	4014	1487	1992	4014
561	1487	1992	1487	4014	1487	1992	4014
562	1487	1992	1487	4014	1487	1992	4014
563	1487	1993	1487	4014	1487	1993	4014
564	1486	1992	1486	4014	1486	1992	4014
565	1484	1989	1484	4014	1484	1989	4014
566	1485	1991	1485	4014	1485	1991	4014
567	1486	1994	1486	4014	1486	1994	4014
568	1489	1996	1489	4014	1489	1996	4014
569	1487	1994	1487	4014	1487	1994	4014
570	1490	1997	1490	4014	1490	1997	4014
571	1491	1998	1491	4014	1491	1998	4014
572	1492	1999	1492	4014	1492	1999	4014
573	1492	1999	1492	4014	1492	1999	4014
574	1492	1999	1492	4014	1492	1999	4014
575	1493	1999	1493	4014	1493	1999	4014
576	1495	2000	1495	4014	1495	2000	4014
577	1495	2001	1495	4014	1495	2001	4014
578	1495	2000	1495	4014	1495	2000	4014
579	1495	2002	1495	4014	1495	2002	4014
580	1496	2002	1496	4014	1496	2002	4014
581	1499	2005	1499	4014	1499	2005	4014
582	1498	2004	1498	4014	1498	2004	4014
583	1498	2004	1498	4014	1498	2004	4014
584	1499	2004	1499	4014	1499	2004	4014
585	1498	2003	1498	4014	1498	2003	4014
586	1497	2002	1497	4014	1497	2002	4014
587	1495	2000	1495	4014	1495	2000	4014
588	1496	1999	1496	4014	1496	1999	4014
589	1496	1999	1496	4014	1496	1999	4014
590	1496	1999	1496	4014	1496	1999	4014
591	1496	1999	1496	4014	1496	1999	4014
592	1496	1999	1496	4014	1496	1999	4014
593	1496	1999	1496	4014	1496	1999	4014
594	1499	2002	1499	4014	1499	2002	4014
595	1499	2000	1499	4014	1499	2000	4014
596	1499	2004	1499	4014	1499	2004	4014
597	1497	2002	1497	4014	1497	2002	4014
598	1497	2002	1497	4014	1497	2002	4014
